From Date,To Date,PM2.5,PM10,NO2,NOx,SO2,CO,Ozone,NH3
28-01-2024 01:00,28-01-2024 02:00,199.25,240.0,249.12,185.2,15.52,3.75,25.7,56.43
18-01-2024 03:00,18-01-2024 04:00,146.75,184.5,15.1,18.05,13.65,0.31,27.62,23.52
22-04-2024 02:00,22-04-2024 03:00,40.25,147.25,58.5,48.0,14.53,0.63,55.68,2.78
14-06-2024 23:00,15-06-2024 00:00,27.67,59.33,56.2,39.03,11.67,0.9,18.7,21.53
23-05-2024 00:00,23-05-2024 01:00,62.0,80.5,45.2,35.52,3.35,0.45,27.3,20.77
04-01-2024 16:00,04-01-2024 17:00,207.75,282.0,22.4,24.12,11.15,1.6,15.9,28.5
12-09-2024 09:00,12-09-2024 10:00,10.75,13.75,66.95,66.3,21.85,1.04,10.28,28.7
01-03-2024 10:00,01-03-2024 11:00,99.5,173.25,91.58,59.8,6.88,0.97,25.95,25.7
14-08-2024 02:00,14-08-2024 03:00,38.5,43.5,51.77,56.53,6.9,1.35,12.53,30.12
29-11-2024 20:00,29-11-2024 21:00,172.0,283.0,399.57,248.15,7.35,6.36,7.97,50.03
16-11-2024 05:00,16-11-2024 06:00,452.25,549.0,6.47,25.32,4.25,2.22,31.27,16.07
12-12-2024 02:00,12-12-2024 03:00,223.0,301.0,263.6,163.2,11.45,2.35,5.85,37.48
21-10-2024 19:00,21-10-2024 20:00,107.25,205.0,376.23,235.88,5.7,3.54,10.4,19.7
22-09-2024 14:00,22-09-2024 15:00,56.75,79.0,13.47,26.47,4.55,0.6,52.27,40.42
11-04-2024 23:00,12-04-2024 00:00,47.0,111.33,90.17,60.5,8.6,1.91,12.73,30.37
23-10-2024 03:00,23-10-2024 04:00,304.25,384.5,430.98,274.05,7.47,2.75,11.68,18.7
05-01-2024 13:00,05-01-2024 14:00,159.0,275.0,27.75,27.62,19.4,1.94,15.9,34.55
15-03-2024 22:00,15-03-2024 23:00,53.25,123.0,64.97,46.77,4.33,1.9,11.95,14.7
23-11-2024 02:00,23-11-2024 03:00,248.5,317.25,329.27,208.12,7.58,4.79,15.28,46.6
04-07-2024 13:00,04-07-2024 14:00,32.0,50.0,4.0,8.5,17.6,1.28,22.45,11.7
16-04-2024 21:00,16-04-2024 22:00,33.5,85.0,19.85,17.67,7.2,0.97,26.65,10.52
09-10-2024 16:00,09-10-2024 17:00,38.5,98.0,33.27,34.25,7.75,0.82,32.5,15.83
02-02-2024 21:00,02-02-2024 22:00,105.25,133.75,27.88,32.17,19.97,2.07,22.32,20.73
04-02-2024 23:00,05-02-2024 00:00,70.33,85.0,23.87,31.37,16.33,0.93,24.4,15.47
08-04-2024 22:00,08-04-2024 23:00,75.0,122.5,49.78,36.23,23.75,2.06,12.55,23.5
04-03-2024 20:00,04-03-2024 21:00,53.75,137.75,86.07,56.9,6.38,1.55,14.7,22.73
22-06-2024 15:00,22-06-2024 16:00,59.5,90.0,19.32,19.58,15.08,1.33,53.75,20.78
06-08-2024 00:00,06-08-2024 01:00,18.75,21.75,52.78,35.9,6.47,0.93,47.55,37.62
22-05-2024 14:00,22-05-2024 15:00,93.25,119.0,11.25,12.4,11.12,0.32,62.1,31.67
28-10-2024 15:00,28-10-2024 16:00,77.0,138.0,67.38,81.1,13.1,1.58,37.48,15.82
17-04-2024 15:00,17-04-2024 16:00,22.0,85.75,52.42,40.62,21.0,0.57,52.67,12.43
21-08-2024 19:00,21-08-2024 20:00,49.5,56.0,53.72,54.87,11.82,1.25,16.45,28.8
23-05-2024 18:00,23-05-2024 19:00,63.25,81.0,9.37,8.9,,1.14,21.88,36.98
02-09-2024 11:00,02-09-2024 12:00,35.75,40.75,35.42,49.58,10.95,0.0,15.1,52.42
29-03-2024 05:00,29-03-2024 06:00,122.75,170.0,26.98,20.43,,0.98,17.8,20.27
27-03-2024 02:00,27-03-2024 03:00,91.75,134.5,114.2,70.83,18.35,1.97,17.73,36.62
07-05-2024 03:00,07-05-2024 04:00,169.25,282.0,89.0,58.9,10.35,1.86,11.93,32.0
05-05-2024 13:00,05-05-2024 14:00,59.0,138.5,60.3,42.12,14.62,0.59,82.73,23.2
17-08-2024 22:00,17-08-2024 23:00,37.75,42.75,103.92,95.1,14.27,2.67,11.62,36.52
13-03-2024 02:00,13-03-2024 03:00,84.25,155.75,71.05,46.2,13.57,1.15,11.57,26.82
12-06-2024 09:00,12-06-2024 10:00,61.0,136.75,49.52,33.05,9.65,0.69,35.55,26.75
11-11-2024 10:00,11-11-2024 11:00,,,34.07,46.95,9.03,1.64,26.85,21.05
15-08-2024 20:00,15-08-2024 21:00,31.25,36.0,56.25,59.53,15.38,1.52,17.12,26.12
13-04-2024 06:00,13-04-2024 07:00,93.25,164.5,168.83,106.78,15.9,1.85,,37.38
04-10-2024 10:00,04-10-2024 11:00,23.75,63.75,37.98,43.55,6.45,0.68,4.93,25.48
16-11-2024 10:00,16-11-2024 11:00,347.5,466.5,13.22,31.4,16.48,2.52,55.95,17.75
02-07-2024 02:00,02-07-2024 03:00,37.25,55.5,9.68,17.48,5.33,1.06,20.77,16.73
17-03-2024 13:00,17-03-2024 14:00,39.25,80.25,43.1,33.12,10.9,0.61,81.6,15.8
23-11-2024 09:00,23-11-2024 10:00,223.25,284.5,84.45,58.72,,1.69,17.18,19.92
09-09-2024 12:00,09-09-2024 13:00,50.25,69.25,18.28,33.33,15.38,1.09,55.05,35.48
26-08-2024 21:00,26-08-2024 22:00,,,66.7,66.25,12.12,1.36,15.12,32.62
28-12-2024 22:00,28-12-2024 23:00,138.25,194.25,68.92,56.27,17.42,1.68,14.5,45.38
03-09-2024 14:00,03-09-2024 15:00,26.0,35.25,48.93,56.12,11.27,0.72,30.73,31.12
31-10-2024 09:00,31-10-2024 10:00,235.25,326.75,96.68,66.53,16.02,1.69,11.3,14.95
26-03-2024 20:00,26-03-2024 21:00,109.75,202.5,58.55,42.25,11.28,2.66,17.75,23.95
14-04-2024 18:00,14-04-2024 19:00,33.25,76.0,62.15,48.57,13.3,1.14,8.82,11.97
01-06-2024 02:00,01-06-2024 03:00,119.0,164.25,52.77,34.88,3.5,1.93,2.0,26.0
05-06-2024 12:00,05-06-2024 13:00,136.25,215.75,46.5,31.55,11.1,0.57,18.2,26.95
12-08-2024 02:00,12-08-2024 03:00,19.0,21.75,45.92,53.38,22.17,1.3,8.85,47.52
28-10-2024 13:00,28-10-2024 14:00,87.25,151.5,59.5,73.65,14.75,1.4,33.15,12.12
08-12-2024 08:00,08-12-2024 09:00,286.25,386.75,410.1,345.47,5.28,2.86,8.27,55.05
24-11-2024 10:00,24-11-2024 11:00,86.0,128.0,47.0,39.2,,0.71,39.45,17.25
26-12-2024 21:00,26-12-2024 22:00,286.0,396.5,269.25,185.05,24.88,5.22,16.17,101.7
28-02-2024 13:00,28-02-2024 14:00,22.25,61.75,33.77,26.27,1.83,0.91,54.77,17.65
01-05-2024 13:00,01-05-2024 14:00,31.5,125.25,55.35,42.62,16.77,0.63,69.8,13.22
08-08-2024 03:00,08-08-2024 04:00,22.5,26.5,21.98,33.95,23.25,0.84,5.18,43.17
07-11-2024 07:00,07-11-2024 08:00,221.5,245.25,247.6,233.8,13.9,4.35,6.05,68.4
16-10-2024 11:00,16-10-2024 12:00,86.25,203.5,45.82,42.15,3.85,1.22,98.2,32.2
17-09-2024 02:00,17-09-2024 03:00,47.75,70.75,151.78,124.88,16.23,2.3,10.77,
11-04-2024 00:00,11-04-2024 01:00,88.75,161.5,193.5,120.05,12.25,2.57,12.67,53.23
04-12-2024 07:00,04-12-2024 08:00,71.0,112.0,97.7,68.43,12.03,0.97,9.85,20.1
24-07-2024 10:00,24-07-2024 11:00,19.25,21.25,161.28,95.15,10.1,1.24,29.82,79.58
15-10-2024 12:00,15-10-2024 13:00,35.25,123.25,31.98,34.58,7.1,0.88,76.9,19.23
06-11-2024 15:00,06-11-2024 16:00,130.5,142.5,51.9,47.4,13.83,0.52,47.08,21.3
21-02-2024 23:00,22-02-2024 00:00,72.67,138.67,25.73,35.4,14.47,0.9,27.97,12.67
02-02-2024 03:00,02-02-2024 04:00,73.5,94.0,80.97,71.07,15.7,1.89,24.23,26.73
06-09-2024 06:00,06-09-2024 07:00,42.25,65.25,176.32,158.62,11.15,1.79,14.22,3.3
29-04-2024 16:00,29-04-2024 17:00,49.0,260.25,45.72,35.67,16.82,0.7,57.4,12.33
15-09-2024 00:00,15-09-2024 01:00,35.25,59.25,107.83,90.03,16.7,1.74,10.48,
20-10-2024 23:00,21-10-2024 00:00,188.33,303.33,,452.47,14.1,5.6,9.37,31.07
08-02-2024 08:00,08-02-2024 09:00,59.5,81.25,9.78,18.95,17.42,0.77,47.75,9.95
15-07-2024 11:00,15-07-2024 12:00,22.5,29.0,23.48,22.05,11.82,0.46,27.75,24.55
10-01-2024 11:00,10-01-2024 12:00,129.0,190.25,22.1,23.0,18.15,,13.6,27.55
28-04-2024 06:00,28-04-2024 07:00,61.75,80.0,77.92,54.25,16.27,1.31,15.55,21.55
12-05-2024 21:00,12-05-2024 22:00,123.5,172.75,27.05,26.5,25.55,2.72,12.0,20.77
12-06-2024 16:00,12-06-2024 17:00,41.5,71.5,48.2,32.62,7.42,0.69,54.08,26.3
07-02-2024 13:00,07-02-2024 14:00,32.5,67.5,5.07,13.85,20.85,0.57,123.2,5.45
26-07-2024 19:00,26-07-2024 20:00,73.75,91.5,160.57,93.73,15.13,1.79,19.27,57.07
17-04-2024 00:00,17-04-2024 01:00,32.0,84.0,45.67,36.77,8.1,0.74,29.77,12.9
